image,relative_path,local_text,local_confidence,local_candidates,local_latency,local_status,local_error,gemini_text,gemini_confidence,gemini_candidates,gemini_latency,gemini_status,gemini_error,gemini_model,system_text,system_confidence,system_aggregated_confidence,system_primary_pipeline,system_valid_pipelines,system_num_valid_pipelines,system_latency,system_status,system_error,system_gemini_model
"ChatGPT Image 20_34_16 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_34_16 12 thg 6, 2026.png",,,,,,,泰定年製,1.0,泰定年製,5.646,success,,gemini-3.1-flash-lite,泰定年製,0.88,0.8338,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,234.724,success,Nguồn web tìm được chưa khớp với kết quả OCR/DB/ML đang có độ tin cậy cao. Giữ kết quả nội bộ và chỉ dùng link nguồn để đối chiếu thêm.,gemini-3.1-flash-lite
"ChatGPT Image 20_34_34 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_34_34 12 thg 6, 2026.png",,,,,,,至治年製,1.0,至治年製,4.6541,success,,gemini-3.1-flash-lite,至治年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,706.2137,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_34_53 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_34_53 12 thg 6, 2026.png",,,,,,,天曆年製,1.0,天曆年製,5.8235,success,,gemini-3.1-flash-lite,天曆年製天,0.7,0.814,vision_gemini,vision_gemini;vision_opencode;ml_match,3,165.1033,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-2.5-flash-lite
"ChatGPT Image 20_35_12 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_35_12 12 thg 6, 2026.png",,,,,,,致和年製,1.0,致和年製,4.8142,success,,gemini-3.1-flash-lite,致和年製,0.93,0.9105,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,165.3129,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_35_36 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_35_36 12 thg 6, 2026.png",,,,,,,至順年製,1.0,至順年製,4.7219,success,,gemini-3.1-flash-lite,至順年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,496.7881,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_35_56 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_35_56 12 thg 6, 2026.png",,,,,,,元統年製,0.95,元統年製,6.7936,success,,gemini-3.1-flash-lite,元統年製,0.95,0.9117,ml_match,ocr_llm;ocr_search;vision_opencode;ml_match,4,172.8143,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-2.5-flash-lite
"ChatGPT Image 20_36_26 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_36_26 12 thg 6, 2026.png",,,,,,,至正年製,1.0,至正年製,6.36,success,,gemini-3.1-flash-lite,至正年製年,0.7,0.802,vision_gemini,vision_gemini;vision_opencode;ml_match,3,185.1298,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_36_39 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_36_39 12 thg 6, 2026.png",,,,,,,隆嘉製年,0.95,隆嘉製年,4.5602,success,,gemini-3.1-flash-lite,隆嘉製年隆,0.7,0.8825,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,137.3466,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_37_59 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_37_59 12 thg 6, 2026.png",,,,,,,嗣德年製,0.9,嗣德年製,5.533,success,,gemini-3.1-flash-lite,嗣德年製,0.94,0.7733,ocr_llm,ocr_llm;ocr_search;vision_opencode;ml_match,4,195.1093,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-2.5-flash-lite
"ChatGPT Image 20_40_14 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_40_14 12 thg 6, 2026.png",,,,,,,宜咸年製,1.0,宜咸年製,4.6081,success,,gemini-3.1-flash-lite,咸宜年製,0.8,0.8614,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,179.4878,success,Nguồn web tìm được chưa khớp với kết quả OCR/DB/ML đang có độ tin cậy cao. Giữ kết quả nội bộ và chỉ dùng link nguồn để đối chiếu thêm.,gemini-3.1-flash-lite
"ChatGPT Image 20_40_30 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_40_30 12 thg 6, 2026.png",,,,,,,建福年製,1.0,建福年製,5.8723,success,,gemini-3.1-flash-lite,建福年製,0.8,0.8558,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,158.8084,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_41_11 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_41_11 12 thg 6, 2026.png",,,,,,,明命年製,1.0,明命年製,5.9043,success,,gemini-3.1-flash-lite,明命年製,0.93,0.8947,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,141.9807,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-2.5-flash-lite
"ChatGPT Image 20_41_47 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_41_47 12 thg 6, 2026.png",,,,,,,泰成年製,0.95,泰成年製,4.1605,success,,gemini-3.1-flash-lite,泰成年製成,0.7,0.814,vision_gemini,vision_gemini;vision_opencode;ml_match,3,384.6663,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_45_39 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_45_39 12 thg 6, 2026.png",,,,,,,啟定年製,0.95,啟定年製,4.9472,success,,gemini-3.1-flash-lite,啟定年製,0.8,0.8571,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,178.1642,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_45_59 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_45_59 12 thg 6, 2026.png",,,,,,,維新年製,0.95,維新年製,3.9388,success,,gemini-3.1-flash-lite,維新年製,0.8,0.8571,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,174.636,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-2.5-flash-lite
"ChatGPT Image 20_46_16 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_46_16 12 thg 6, 2026.png",,,,,,,大保製年,1.0,大保製年,8.1625,success,,gemini-3.1-flash-lite,大保製年漢,0.7,0.8825,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,211.7774,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_48_23 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_48_23 12 thg 6, 2026.png",,,,,,,泰德年製,1.0,泰德年製,10.2197,success,,gemini-3.1-flash-lite,泰德年製漢字,0.7,0.814,vision_gemini,vision_gemini;vision_opencode;ml_match,3,191.1218,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_50_34 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_50_34 12 thg 6, 2026.png",,,,,,,光中年製,1.0,光中年製,3.7896,success,,gemini-3.1-flash-lite,光中年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,265.5834,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_51_12 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_51_12 12 thg 6, 2026.png",,,,,,,盛景製年,0.95,盛景製年,3.0024,success,,gemini-3.1-flash-lite,盛景製年盛景年製,0.7,0.9038,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,329.8658,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_55_14 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_55_14 12 thg 6, 2026.png",,,,,,,順天年製,1.0,順天年製,3.4954,success,,gemini-3.1-flash-lite,順天年製,0.88,0.722,vision_gemini,vision_gemini;vision_opencode;ml_match,3,297.7763,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_56_14 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_56_14 12 thg 6, 2026.png",,,,,,,天成年製,1.0,天成年製,3.2349,success,,gemini-3.1-flash-lite,,,,,,,,,,
"ChatGPT Image 21_04_11 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 21_04_11 12 thg 6, 2026.png",,,,,,,大明宣德年製,1.0,大明宣德年製,5.2483,success,,gemini-3.1-flash-lite,,,,,,,,,,
"ChatGPT Image 21_06_04 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 21_06_04 12 thg 6, 2026.png",,,,,,,協和年製,1.0,協和年製,4.6711,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_25tgj425tgj425tg.png,ảnh thực nghiệm\Gemini_Generated_Image_25tgj425tgj425tg.png,,,,,,,太平年製南,0.9,太平年製南,3.7336,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_49dq5949dq5949dq.png,ảnh thực nghiệm\Gemini_Generated_Image_49dq5949dq5949dq.png,,,,,,,興隆政戊年製,0.95,興隆政戊年製,3.5576,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_49nuax49nuax49nu.png,ảnh thực nghiệm\Gemini_Generated_Image_49nuax49nuax49nu.png,,,,,,,天成年成年製,0.95,天成年成年製,6.2507,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_5m5u225m5u225m5u.png,ảnh thực nghiệm\Gemini_Generated_Image_5m5u225m5u225m5u.png,,,,,,,泰德年製,0.95,泰德年製,11.7368,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_7l63oc7l63oc7l63.png,ảnh thực nghiệm\Gemini_Generated_Image_7l63oc7l63oc7l63.png,,,,,,,開泰請戊年製,1.0,開泰請戊年製,5.5289,success,,gemini-2.5-flash,,,,,,,,,,
Gemini_Generated_Image_8b23wb8b23wb8b23.png,ảnh thực nghiệm\Gemini_Generated_Image_8b23wb8b23wb8b23.png,,,,,,,龍符元年製,0.95,龍符元年製,6.3979,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_avyz4havyz4havyz.png,ảnh thực nghiệm\Gemini_Generated_Image_avyz4havyz4havyz.png,,,,,,,大洪德年先製,0.8,大洪德年先製,4.4836,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_eayghyeayghyeayg.png,ảnh thực nghiệm\Gemini_Generated_Image_eayghyeayghyeayg.png,,,,,,,紹成年製,0.95,紹成年製,10.9464,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_hmgbuhhmgbuhhmgb.png,ảnh thực nghiệm\Gemini_Generated_Image_hmgbuhhmgbuhhmgb.png,,,,,,,永盛永肯年製,0.85,永盛永肯年製,4.3264,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_hpepkehpepkehpep.png,ảnh thực nghiệm\Gemini_Generated_Image_hpepkehpepkehpep.png,,,,,,,紹寶年製,0.95,紹寶年製,9.1632,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_idhru1idhru1idhr.png,ảnh thực nghiệm\Gemini_Generated_Image_idhru1idhru1idhr.png,,,,,,,會祥大慶年製,1.0,會祥大慶年製,3.8836,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_j7xkzuj7xkzuj7xk.png,ảnh thực nghiệm\Gemini_Generated_Image_j7xkzuj7xkzuj7xk.png,,,,,,,政隆寶年製,0.95,政隆寶年製,4.4336,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_kcgqoxkcgqoxkcgq.png,ảnh thực nghiệm\Gemini_Generated_Image_kcgqoxkcgqoxkcgq.png,,,,,,,順天朱年製東,1.0,順天朱年製東,3.1949,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_mu2wc9mu2wc9mu2w.png,ảnh thực nghiệm\Gemini_Generated_Image_mu2wc9mu2wc9mu2w.png,,,,,,,大日本製,1.0,大日本製,3.481,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_o19klgo19klgo19k.png,ảnh thực nghiệm\Gemini_Generated_Image_o19klgo19klgo19k.png,,,,,,,天應平政年製,0.95,天應平政年製,4.8265,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_p0bgnbp0bgnbp0bg.png,ảnh thực nghiệm\Gemini_Generated_Image_p0bgnbp0bgnbp0bg.png,,,,,,,順天年製,1.0,順天年製,16.1241,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_pl2nd7pl2nd7pl2n.png,ảnh thực nghiệm\Gemini_Generated_Image_pl2nd7pl2nd7pl2n.png,,,,,,,景興永茂年製,0.95,景興永茂年製,3.8055,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_pq6uowpq6uowpq6u.png,ảnh thực nghiệm\Gemini_Generated_Image_pq6uowpq6uowpq6u.png,,,,,,,大日本薩摩,1.0,大日本薩摩,4.1672,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_qjycmqqjycmqqjyc.png,ảnh thực nghiệm\Gemini_Generated_Image_qjycmqqjycmqqjyc.png,,,,,,,紹明年製,0.95,紹明年製,3.9258,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_qokt9bqokt9bqokt.png,ảnh thực nghiệm\Gemini_Generated_Image_qokt9bqokt9bqokt.png,,,,,,,興統年統年製,0.9,興統年統年製,4.1204,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_sbzo4hsbzo4hsbzo.png,ảnh thực nghiệm\Gemini_Generated_Image_sbzo4hsbzo4hsbzo.png,,,,,,,大日本九谷造,1.0,大日本九谷造,5.7485,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_smqh0usmqh0usmqh.png,ảnh thực nghiệm\Gemini_Generated_Image_smqh0usmqh0usmqh.png,,,,,,,大定年製,1.0,大定年製,4.4948,success,,gemini-2.5-flash-lite,,,,,,,,,,
Gemini_Generated_Image_tbo2cxtbo2cxtbo2.png,ảnh thực nghiệm\Gemini_Generated_Image_tbo2cxtbo2cxtbo2.png,,,,,,,龍瑞太平成年製,1.0,龍瑞太平成年製,3.2195,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_uovognuovognuovo.png,ảnh thực nghiệm\Gemini_Generated_Image_uovognuovognuovo.png,,,,,,,大日本帝國製,1.0,大日本帝國製,3.8153,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_v0hnwiv0hnwiv0hn.png,ảnh thực nghiệm\Gemini_Generated_Image_v0hnwiv0hnwiv0hn.png,,,,,,,大日本,1.0,大日本,3.6012,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_wh1qy5wh1qy5wh1q.png,ảnh thực nghiệm\Gemini_Generated_Image_wh1qy5wh1qy5wh1q.png,,,,,,,景盛年製,0.95,景盛年製,3.8452,success,,gemini-3.1-flash-lite,,,,,,,,,,
Gemini_Generated_Image_xky5k1xky5k1xky5.png,ảnh thực nghiệm\Gemini_Generated_Image_xky5k1xky5k1xky5.png,,,,,,,龍符年製,0.95,龍符年製,3.8332,success,,gemini-3.1-flash-lite,,,,,,,,,,
Screenshot 2026-06-12 201139.png,ảnh thực nghiệm\Screenshot 2026-06-12 201139.png,,,,,,,大明正德年製,1.0,大明正德年製,2.4659,success,,gemini-3.1-flash-lite,,,,,,,,,,
